,product_id,product_category,care_label,product_main_category,product_sub_category,updated_care_label,color,component,weight
890,#8101,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,"88% cordura polyamide, 12% elastane",,reinforcement,270.0
891,#8101,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,"90% polyester, 10% elastane",,contrast,220.0
892,#8101,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,90% polyester 10% elastane,,cuff stretch,253.0
893,#8101,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,"50% 37.5 polyester, 35% repreve recycled polyester, 15% polyester",,insulation,140.0
894,#8101,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,100% polyester,,pocket lining,215.0
895,#8102,jacket,"main: 97% recycled polyamide, 3% pu.                                                                 lining: 100% recycled polyamide.            
insulation: 100% recycled polyester (60% sorona® polyester, 40% polyester)",jacket,,"97% recycled polyamide, 3% pu",,main,
896,#8102,jacket,"main: 97% recycled polyamide, 3% pu.                                                                 lining: 100% recycled polyamide.            
insulation: 100% recycled polyester (60% sorona® polyester, 40% polyester)",jacket,,100% recycled polyamide,,lining,
897,#8102,jacket,"main: 97% recycled polyamide, 3% pu.                                                                 lining: 100% recycled polyamide.            
insulation: 100% recycled polyester (60% sorona® polyester, 40% polyester)",jacket,,"100% recycled polyester (60% sorona polyester, 40% polyester)",,insulation,
898,#8107,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,100% polyamide,,main,67.0
899,#8107,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,"88% cordura polyamide, 12% elastane",,reinforcement,270.0
900,#8107,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,"90% polyester, 10% elastane",,contrast,220.0
901,#8107,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,90% polyester 10% elastane,,cuff stretch,253.0
902,#8107,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,"50% 37.5 polyester, 35% repreve recycled polyester, 15% polyester",,insulation,140.0
903,#8107,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,100% polyester,,pocket lining,215.0
904,#8133,jacket,"material: main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane 250 g/m². reinforcement: 88% polyamide cordura® 12% elastane  275 g/m². lining: 100% polyamide 65 g/m². padding: 100% polyester, 90% of the isolation is made of repreve® polyester 80 g/m².",jacket,,,,material,
905,#8133,jacket,"material: main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane 250 g/m². reinforcement: 88% polyamide cordura® 12% elastane  275 g/m². lining: 100% polyamide 65 g/m². padding: 100% polyester, 90% of the isolation is made of repreve® polyester 80 g/m².",jacket,,100% polyester,,main,150.0
906,#8133,jacket,"material: main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane 250 g/m². reinforcement: 88% polyamide cordura® 12% elastane  275 g/m². lining: 100% polyamide 65 g/m². padding: 100% polyester, 90% of the isolation is made of repreve® polyester 80 g/m².",jacket,,"90% polyester, 10% elastane",,contrast,250.0
907,#8133,jacket,"material: main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane 250 g/m². reinforcement: 88% polyamide cordura® 12% elastane  275 g/m². lining: 100% polyamide 65 g/m². padding: 100% polyester, 90% of the isolation is made of repreve® polyester 80 g/m².",jacket,,88% polyamide cordura 12% elastane,,reinforcement,275.0
908,#8133,jacket,"material: main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane 250 g/m². reinforcement: 88% polyamide cordura® 12% elastane  275 g/m². lining: 100% polyamide 65 g/m². padding: 100% polyester, 90% of the isolation is made of repreve® polyester 80 g/m².",jacket,,100% polyamide,,lining,65.0
909,#8133,jacket,"material: main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane 250 g/m². reinforcement: 88% polyamide cordura® 12% elastane  275 g/m². lining: 100% polyamide 65 g/m². padding: 100% polyester, 90% of the isolation is made of repreve® polyester 80 g/m².",jacket,,"100% polyester, 90% isolation made repreve polyester",,padding,80.0
